Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Antigua and Barbuda,ATG,Control of Corruption: Estimate,CC.EST,1.279336,1.267989,1.260759,0.6400556,0.6899276,0.6938039,0.2442875,0.2775422,0.2784069,0.2752807
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9575883,0.9757881,0.9588634,0.9845507,1.004725,0.8786072,0.748045,0.8408569,0.9535552,0.9338933
Antigua and Barbuda,ATG,Regulatory Quality: Estimate,RQ.EST,0.6357366,0.6043823,0.6065512,0.5329666,0.3740782,0.3414612,0.2530876,0.4139312,0.4854296,0.5125659
Antigua and Barbuda,ATG,Voice and Accountability: Estimate,VA.EST,0.5111747,0.640057,0.6189557,0.5587108,0.5949928,0.6336627,0.6085795,0.5700647,0.7332423,0.7448558
Antigua and Barbuda,ATG,Government Effectiveness: Estimate,GE.EST,0.4868152,0.4858532,0.490504,-0.0696207,0.2271785,0.2652237,0.0113757,-0.0082157,-0.0041234,-0.149707
Antigua and Barbuda,ATG,Rule of Law: Estimate,RL.EST,0.9494396,0.9514989,0.8377237,-0.1772965,0.5897811,0.5088214,0.4458083,0.4153409,0.4052342,0.4520202
Argentina,ARG,Control of Corruption: Estimate,CC.EST,-0.3661301,-0.443186,-0.4321393,-0.5415842,-0.5470773,-0.2839309,-0.2581808,-0.0687873,-0.0762876,-0.1163816
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.1589937,0.1030405,0.0653143,-0.0051219,0.0147854,0.2046255,0.1695043,0.0108914,-0.0914442,0.0364368
Argentina,ARG,Regulatory Quality: Estimate,RQ.EST,-0.7222099,-0.9292172,-0.957261,-1.074257,-0.9114419,-0.4696253,-0.2898896,-0.2906713,-0.4932295,-0.5673085
Argentina,ARG,Voice and Accountability: Estimate,VA.EST,0.3449418,0.2952099,0.2769879,0.3453205,0.4117875,0.4933509,0.5286481,0.5323461,0.5740061,0.5941538
Argentina,ARG,Government Effectiveness: Estimate,GE.EST,-0.1200883,-0.2386665,-0.2777677,-0.1595265,-0.0752744,0.1618781,0.1445933,0.0272682,-0.0869984,-0.2169417
Argentina,ARG,Rule of Law: Estimate,RL.EST,-0.5608633,-0.6796466,-0.7077284,-0.8861388,-0.7708783,-0.3937469,-0.2492861,-0.2436714,-0.4306342,-0.4693715
Armenia,ARM,Control of Corruption: Estimate,CC.EST,-0.6568627,-0.5878049,-0.5317937,-0.5239608,-0.5338398,-0.571828,-0.5633132,-0.3475996,-0.1782838,0.031597
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.063869,0.154795,0.1103851,-0.2971358,-0.2523326,-0.6622638,-0.6207712,-0.4449081,-0.4134244,-0.5712944
Armenia,ARM,Regulatory Quality: Estimate,RQ.EST,0.2732067,0.349337,0.252607,0.2134245,0.2418069,0.2500556,0.2805222,0.3279592,0.249007,0.2500479
Armenia,ARM,Voice and Accountability: Estimate,VA.EST,-0.6907798,-0.5704914,-0.5880308,-0.5620829,-0.5362936,-0.5792814,-0.5608286,-0.1379438,0.0554766,0.0446616
Armenia,ARM,Government Effectiveness: Estimate,GE.EST,-0.1289906,-0.0423688,0.0688658,-0.1984497,-0.1610711,-0.1583772,-0.1026952,-0.0284142,-0.0666463,-0.1242361
Armenia,ARM,Rule of Law: Estimate,RL.EST,-0.4409416,-0.4178914,-0.3442721,-0.3660013,-0.3879299,-0.119234,-0.1606279,-0.1494592,-0.13098,-0.0832231
Aruba,ABW,Control of Corruption: Estimate,CC.EST,1.110036,1.102628,1.12658,1.019108,1.29756,1.285871,1.294589,1.252447,1.217546,1.235405
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.285738,1.263882,1.312226,1.164568,1.230921,1.284199,1.335038,1.356553,1.349796,1.384053
Aruba,ABW,Regulatory Quality: Estimate,RQ.EST,1.32283,1.408916,1.429111,1.250432,1.371496,1.347553,1.194347,0.8561839,0.8574405,0.9238698
Aruba,ABW,Voice and Accountability: Estimate,VA.EST,1.273588,1.28465,1.278059,1.276822,1.273942,1.279368,1.295541,1.271613,1.264411,1.289108
Aruba,ABW,Government Effectiveness: Estimate,GE.EST,1.242021,1.254594,1.227173,0.8914645,0.8832577,0.8928662,0.9199638,1.056812,1.029622,1.129532
Aruba,ABW,Rule of Law: Estimate,RL.EST,1.330773,1.316149,1.299672,1.038239,1.260903,1.261825,1.335014,1.297677,1.26335,1.306116
Australia,AUS,Control of Corruption: Estimate,CC.EST,2.04471,1.985249,1.785226,1.853722,1.882711,1.816108,1.798351,1.805214,1.825413,1.665165
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9357101,0.9979972,1.031073,1.032192,0.8849798,1.047958,0.8960608,0.989604,0.9117457,0.8487522
Australia,AUS,Regulatory Quality: Estimate,RQ.EST,1.858609,1.786468,1.800868,1.863708,1.788684,1.896966,1.933411,1.902706,1.873689,1.816904
Australia,AUS,Voice and Accountability: Estimate,VA.EST,1.453721,1.49919,1.436414,1.361716,1.355591,1.353702,1.375636,1.380593,1.267441,1.304121
Australia,AUS,Government Effectiveness: Estimate,GE.EST,1.695814,1.62129,1.640055,1.607067,1.564191,1.568043,1.538219,1.595232,1.571555,1.619163
Australia,AUS,Rule of Law: Estimate,RL.EST,1.742514,1.766858,1.778535,1.923046,1.825073,1.755667,1.686461,1.715382,1.734473,1.651188
Austria,AUT,Control of Corruption: Estimate,CC.EST,1.477266,1.434778,1.54453,1.47129,1.511966,1.539869,1.545208,1.605723,1.557738,1.509674
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.193522,1.340567,1.364101,1.2707,1.143079,0.9096388,1.046833,0.902334,0.9167479,0.851911
Austria,AUT,Regulatory Quality: Estimate,RQ.EST,1.382634,1.524189,1.490679,1.48773,1.403266,1.440436,1.440179,1.531354,1.459237,1.401355
Austria,AUT,Voice and Accountability: Estimate,VA.EST,1.402444,1.448773,1.456567,1.391321,1.383533,1.337481,1.385913,1.387745,1.338795,1.398979
Austria,AUT,Government Effectiveness: Estimate,GE.EST,1.608545,1.568167,1.578917,1.559177,1.481696,1.510521,1.507205,1.494416,1.527737,1.655057
Austria,AUT,Rule of Law: Estimate,RL.EST,1.808492,1.864357,1.84264,1.942881,1.849107,1.800264,1.84235,1.896155,1.904162,1.810441
Azerbaijan,AZE,Control of Corruption: Estimate,CC.EST,-1.178846,-1.126805,-0.9665772,-1.018758,-0.9300975,-0.8383624,-0.8853079,-0.8364836,-0.8379928,-1.048197
Azerbaijan,AZE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.532136,-0.7157518,-0.4128599,-0.5599095,-0.7295656,-0.8038791,-0.7479199,-0.7067598,-0.6859124,-0.7252154
Azerbaijan,AZE,Regulatory Quality: Estimate,RQ.EST,-0.3719663,-0.4555908,-0.4083123,-0.2771416,-0.2547193,-0.2820228,-0.2449824,-0.1973939,-0.2269891,-0.3147717
Azerbaijan,AZE,Voice and Accountability: Estimate,VA.EST,-1.301848,-1.299482,-1.402769,-1.479178,-1.552387,-1.561036,-1.563684,-1.511334,-1.529508,-1.545741
Azerbaijan,AZE,Government Effectiveness: Estimate,GE.EST,-0.7651436,-0.7827144,-0.4752991,-0.3642464,-0.2576264,-0.165814,-0.1726412,-0.158052,-0.1401703,-0.1702325
Azerbaijan,AZE,Rule of Law: Estimate,RL.EST,-0.8936627,-0.8344684,-0.7239093,-0.6723402,-0.6737632,-0.5200193,-0.5575179,-0.587534,-0.5771515,-0.6910434
"Bahamas, The",BHS,Control of Corruption: Estimate,CC.EST,1.353867,1.323548,1.341844,1.313396,1.136198,1.108086,1.176681,1.131582,1.137568,1.137461
"Bahamas, The",BHS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.103621,1.184026,1.134825,0.9564701,0.9074765,0.9754187,0.9895855,0.8628951,0.8162377,0.849964
"Bahamas, The",BHS,Regulatory Quality: Estimate,RQ.EST,0.5280252,0.3950239,0.1900627,0.1719736,0.1661729,0.2575893,0.1230418,0.1802535,-0.0482854,0.0138412
"Bahamas, The",BHS,Voice and Accountability: Estimate,VA.EST,0.9601085,0.9345739,0.9244487,1.047354,0.9514745,0.8521555,0.8495829,0.7648554,0.9062235,0.9186843
"Bahamas, The",BHS,Government Effectiveness: Estimate,GE.EST,0.9799905,0.989447,0.872579,0.7287416,0.7124429,0.7191967,0.5790182,0.5372647,0.4858155,0.4521627
"Bahamas, The",BHS,Rule of Law: Estimate,RL.EST,0.6171643,0.6196913,0.6378295,0.6653499,0.5970145,0.2602585,0.1914401,0.0970907,0.0764876,0.0620066
Bahrain,BHR,Control of Corruption: Estimate,CC.EST,0.2173567,0.3736348,0.4331436,0.2789476,0.1390045,-0.0157671,-0.1390255,-0.1461672,-0.0096477,-0.0655486
Bahrain,BHR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.9508419,-1.129955,-1.335418,-0.9074749,-1.07354,-0.7934257,-0.9615637,-0.8504526,-0.6273595,-0.5911913
Bahrain,BHR,Regulatory Quality: Estimate,RQ.EST,0.7209967,0.6894466,0.6073823,0.7084731,0.8196669,0.6082391,0.4164841,0.4166367,0.4851534,0.6258294
Bahrain,BHR,Voice and Accountability: Estimate,VA.EST,-1.217317,-1.318025,-1.317464,-1.311063,-1.313066,-1.372085,-1.387303,-1.421445,-1.429295,-1.457495
Bahrain,BHR,Government Effectiveness: Estimate,GE.EST,0.5205983,0.5496432,0.588751,0.5647892,0.559505,0.3275663,0.1955773,0.1777807,0.2984906,0.4287471
Bahrain,BHR,Rule of Law: Estimate,RL.EST,0.3522793,0.2583265,0.3310097,0.4136364,0.4249487,0.4563531,0.4492349,0.4128062,0.4944274,0.491358
Bangladesh,BGD,Control of Corruption: Estimate,CC.EST,-1.087299,-0.8498092,-0.8868789,-0.8869365,-0.8084212,-0.8569472,-0.8317032,-0.8999589,-0.9934731,-0.9782742
Bangladesh,BGD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.404737,-1.379089,-1.627859,-0.8955632,-1.212018,-1.261937,-1.256081,-0.9956784,-0.9329753,-0.9173985
Bangladesh,BGD,Regulatory Quality: Estimate,RQ.EST,-0.8115228,-0.951405,-0.9147804,-0.9375781,-0.8990583,-0.7966801,-0.8055848,-0.8343157,-0.9290726,-0.9019138
Bangladesh,BGD,Voice and Accountability: Estimate,VA.EST,-0.3150689,-0.4019407,-0.4053864,-0.4739298,-0.5120469,-0.5838786,-0.6150656,-0.747334,-0.7418209,-0.7691441
Bangladesh,BGD,Government Effectiveness: Estimate,GE.EST,-0.7552108,-0.804239,-0.7941526,-0.7662596,-0.723855,-0.678781,-0.7350984,-0.7402487,-0.7402849,-0.7878783
Bangladesh,BGD,Rule of Law: Estimate,RL.EST,-0.7323931,-0.9292567,-0.8668659,-0.7777678,-0.7513467,-0.6636689,-0.6718881,-0.6409807,-0.6363772,-0.5731802
Barbados,BRB,Control of Corruption: Estimate,CC.EST,1.724648,1.655899,1.619351,1.138245,1.491027,1.257388,1.424147,1.411714,1.196289,1.22592
Barbados,BRB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.24613,1.185966,1.266929,1.27792,1.135361,0.9766099,0.9668277,0.9134325,1.049227,1.129196
Barbados,BRB,Regulatory Quality: Estimate,RQ.EST,0.6473415,0.4534954,0.4570413,0.3385934,0.5658875,0.4810649,0.4947271,0.5435893,0.4123509,0.4801968
Barbados,BRB,Voice and Accountability: Estimate,VA.EST,1.114059,1.132979,1.137358,1.145062,1.096536,1.085793,1.113587,1.091533,1.102872,1.131755
Barbados,BRB,Government Effectiveness: Estimate,GE.EST,1.47077,1.462032,1.357448,1.204588,1.024859,1.081779,0.8445573,0.4250214,0.6311362,0.4893115
Barbados,BRB,Rule of Law: Estimate,RL.EST,1.081758,1.031625,1.046094,1.08242,1.095096,0.7951409,0.660408,0.3950066,0.3570479,0.3377488
Belarus,BLR,Control of Corruption: Estimate,CC.EST,-0.6794292,-0.5175281,-0.4710824,-0.3048674,-0.3350109,-0.2569613,-0.2574071,-0.1850613,-0.0375447,-0.1682376
Belarus,BLR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.087769,0.0686152,0.0059592,0.1797822,0.1100165,0.1422815,-0.0534834,0.3480572,0.3323891,-0.7303549
Belarus,BLR,Regulatory Quality: Estimate,RQ.EST,-1.177444,-1.069632,-1.068252,-1.008514,-0.9935866,-0.9412614,-0.7347551,-0.6494673,-0.5432242,-0.649549
Belarus,BLR,Voice and Accountability: Estimate,VA.EST,-1.660208,-1.567181,-1.544429,-1.442872,-1.465078,-1.339445,-1.356029,-1.366688,-1.407983,-1.458824
Belarus,BLR,Government Effectiveness: Estimate,GE.EST,-1.077785,-0.9016975,-0.8971639,-0.4866249,-0.4590869,-0.478073,-0.3413015,-0.295147,-0.1843532,-0.7293182
Belarus,BLR,Rule of Law: Estimate,RL.EST,-1.107252,-0.936956,-0.9009678,-0.8404086,-0.8130023,-0.7162234,-0.8187015,-0.830292,-0.7943493,-0.9959167
Belgium,BEL,Control of Corruption: Estimate,CC.EST,1.52689,1.566686,1.61161,1.517457,1.514363,1.574584,1.447792,1.466163,1.485347,1.478052
Belgium,BEL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9545354,0.9235997,0.9400827,0.7012694,0.5870946,0.4413673,0.4281858,0.4023501,0.4737775,0.5905626
Belgium,BEL,Regulatory Quality: Estimate,RQ.EST,1.241629,1.22858,1.291454,1.157765,1.287759,1.340684,1.24688,1.268156,1.291109,1.350718
Belgium,BEL,Voice and Accountability: Estimate,VA.EST,1.325163,1.349422,1.373046,1.366339,1.38744,1.377026,1.338482,1.318997,1.310243,1.283182
Belgium,BEL,Government Effectiveness: Estimate,GE.EST,1.729158,1.679496,1.709993,1.523705,1.560348,1.433041,1.278846,1.261865,1.148132,1.124299
Belgium,BEL,Rule of Law: Estimate,RL.EST,1.443449,1.455392,1.464392,1.551951,1.488841,1.429943,1.358459,1.376737,1.37409,1.36892
Belize,BLZ,Control of Corruption: Estimate,CC.EST,-0.3306846,-0.1364852,-0.0968202,-0.1981375,-0.2224529,-0.2427203,-0.298598,-0.1370772,-0.1957777,-0.1919857
Belize,BLZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.1519089,0.1802576,0.1761893,0.0485831,0.0430976,0.0606221,0.0357257,0.0031797,0.0630389,0.5117432
Belize,BLZ,Regulatory Quality: Estimate,RQ.EST,-0.5138005,-0.4732476,-0.4844147,-0.4965478,-0.4634508,-0.5123594,-0.5466834,-0.6500763,-0.5444132,-0.5378277
Belize,BLZ,Voice and Accountability: Estimate,VA.EST,0.6955153,0.6952773,0.7114362,0.5200883,0.5781333,0.57083,0.5706139,0.4223617,0.5056173,0.5281408
Belize,BLZ,Government Effectiveness: Estimate,GE.EST,-0.3809868,-0.3247786,-0.3293366,-0.6578027,-0.6844357,-0.6760404,-0.7029624,-0.5964406,-0.6776266,-0.6464335
Belize,BLZ,Rule of Law: Estimate,RL.EST,-0.4849886,-0.4577837,-0.4671091,-0.7452539,-0.7210283,-0.8639369,-0.8768259,-0.8238621,-0.7752398,-0.7596992
Benin,BEN,Control of Corruption: Estimate,CC.EST,-0.593505,-0.8564976,-0.7439298,-0.6660475,-0.5508423,-0.5133145,-0.561516,-0.3887573,-0.3385691,-0.0392984
Benin,BEN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.3183564,0.3643676,0.3011894,0.0271398,-0.013514,-0.0020272,0.0308955,-0.1411756,-0.412668,-0.4397532
Benin,BEN,Regulatory Quality: Estimate,RQ.EST,-0.3462625,-0.3786036,-0.4007843,-0.5859138,-0.5630289,-0.5278944,-0.4710597,-0.3385929,-0.3760342,-0.3722045
Benin,BEN,Voice and Accountability: Estimate,VA.EST,0.1663906,0.1244855,0.1554964,0.2663023,0.2961213,0.4098547,0.3822365,0.2402929,0.0680906,-0.0771749
Benin,BEN,Government Effectiveness: Estimate,GE.EST,-0.5459045,-0.51537,-0.4897038,-0.4572671,-0.6198767,-0.5643299,-0.6468335,-0.5638022,-0.4411183,-0.2638812
Benin,BEN,Rule of Law: Estimate,RL.EST,-0.6632628,-0.5856425,-0.5687224,-0.4881202,-0.5360809,-0.6087622,-0.6260697,-0.6733479,-0.6637715,-0.7278787
Bermuda,BMU,Control of Corruption: Estimate,CC.EST,1.279336,1.267989,1.260759,1.225432,1.218931,1.228804,1.245126,1.239041,1.234696,1.314374
Bermuda,BMU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9641221,0.9802537,0.9703031,0.9138978,0.983049,0.9996701,1.001911,1.152475,1.065074,1.014357
Bermuda,BMU,Regulatory Quality: Estimate,RQ.EST,1.372053,1.327829,1.327262,0.8850665,0.9129404,0.8714429,0.844159,0.8234454,0.8463107,0.9409034
Bermuda,BMU,Voice and Accountability: Estimate,VA.EST,1.009052,1.025672,1.004767,..,..,..,..,..,..,..
Bermuda,BMU,Government Effectiveness: Estimate,GE.EST,0.9956897,1.008531,1.015033,0.9520539,1.007015,1.328458,1.389179,1.386165,1.361957,1.543409
Bermuda,BMU,Rule of Law: Estimate,RL.EST,1.098677,1.102387,1.107993,0.0187731,0.8836293,0.8654476,0.8736399,0.876514,0.8455459,0.6886193
Bhutan,BTN,Control of Corruption: Estimate,CC.EST,0.8385482,0.9395218,0.9015949,1.280615,1.022701,1.126535,1.553321,1.640953,1.61838,1.648439
Bhutan,BTN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8264953,0.7763095,0.7846249,1.068039,0.974715,1.123297,1.11713,1.093906,1.082096,1.021578
Bhutan,BTN,Regulatory Quality: Estimate,RQ.EST,-1.154382,-1.086905,-1.078863,-0.9980033,-0.7134356,-0.6651375,-0.3313459,-0.3448173,-0.3273374,-0.3105174
Bhutan,BTN,Voice and Accountability: Estimate,VA.EST,-0.4040294,-0.2809201,-0.1587836,-0.102953,-0.0348184,-0.0259183,0.0109287,0.0348506,0.074758,0.1519855
Bhutan,BTN,Government Effectiveness: Estimate,GE.EST,0.6325497,0.5124978,0.4003721,0.2558368,0.4060493,0.5002068,0.5571043,0.3601472,0.3124391,0.3731863
Bhutan,BTN,Rule of Law: Estimate,RL.EST,0.1955945,0.2363021,0.2902508,0.3789314,0.5222453,0.4934784,0.611513,0.5493638,0.5903587,0.5941438
Bolivia,BOL,Control of Corruption: Estimate,CC.EST,-0.5693955,-0.7291898,-0.5897596,-0.6301022,-0.6964295,-0.7242584,-0.6587374,-0.6176781,-0.7382592,-0.7563663
Bolivia,BOL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.4171265,-0.4580681,-0.3285934,-0.3331121,-0.2684872,-0.2488664,-0.2780288,-0.2871185,-0.7300857,-0.4676746
Bolivia,BOL,Regulatory Quality: Estimate,RQ.EST,-0.7557204,-0.8235803,-0.7768504,-0.8702523,-0.8858231,-0.9240948,-0.8970232,-0.9072621,-0.9934214,-1.023997
Bolivia,BOL,Voice and Accountability: Estimate,VA.EST,-0.0682378,-0.0815853,-0.068993,-0.0263198,-0.0046696,-0.036425,-0.0246515,-0.0648267,-0.1143257,-0.0706577
Bolivia,BOL,Government Effectiveness: Estimate,GE.EST,-0.4725091,-0.3687589,-0.3868354,-0.5881819,-0.6522306,-0.567202,-0.3853793,-0.3178463,-0.6993221,-0.5620455
Bolivia,BOL,Rule of Law: Estimate,RL.EST,-0.9790104,-1.016023,-1.046474,-1.0553,-1.14112,-1.200806,-1.20487,-1.145215,-1.121446,-1.151606
Bosnia and Herzegovina,BIH,Control of Corruption: Estimate,CC.EST,-0.3209244,-0.3044587,-0.2384666,-0.3079719,-0.3938885,-0.4563362,-0.5174395,-0.5669701,-0.6089352,-0.6038762
